Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR000035	Alkylbase DNA glycosidase, conserved site  Molecular Function	interpro	conserved_site		PS00516	GO:0003905,GO:0006281
IPR000055	Type I restriction modification DNA specificity domain  Molecular Function	interpro	domain		PF01420	GO:0003677
IPR000093	DNA recombination protein RecR  Molecular Function	interpro	family		PTHR30446,MF_00017,TIGR00615	GO:0003677,GO:0046872,GO:0006281,GO:0006310
IPR000119	Histone-like DNA-binding protein  Molecular Function	interpro	family		PTHR33175,PF00216,SM00411,PR01727	GO:0003677,GO:0030527
IPR000123	RNA-directed DNA polymerase (reverse transcriptase), msDNA  Molecular Function	interpro	family		cd03487,PR00866	GO:0003723,GO:0003964,GO:0006278
IPR000201	Hepadnaviral P protein, N-terminal  Molecular Function	interpro	domain		PF00242	GO:0003677,GO:0003887,GO:0006260
IPR000212	DNA helicase, UvrD/REP type  Molecular Function	interpro	family		PTHR11070	GO:0003677,GO:0003678,GO:0005524
IPR000214	Zinc finger, DNA glycosylase/AP lyase-type  Molecular Function	interpro	domain		PS51066	GO:0003906,GO:0008270,GO:0016799,GO:0006284
IPR000232	Heat shock factor (HSF)-type, DNA-binding  Molecular Function	interpro	domain		PS00434,SM00415,PF00447,PR00056	GO:0003700,GO:0043565,GO:0006355
IPR000268	DNA-directed RNA polymerase subunit RPABC5/Rpb10  Molecular Function	interpro	family		PTHR23431,MF_00250,PIRSF005653,PF01194	GO:0003677,GO:0003899,GO:0006351
IPR000380	DNA topoisomerase, type IA  Molecular Function	interpro	family		PTHR42785,PTHR11390	GO:0003677,GO:0003917,GO:0006265
IPR000424	Primosome PriB/single-strand DNA-binding  Molecular Function	interpro	family		cd04496,PS50935,PF00436	GO:0003697
IPR000432	DNA mismatch repair protein MutS, C-terminal  Molecular Function	interpro	domain		PS00486,PF00488,SM00534	GO:0005524,GO:0030983,GO:0006298
IPR000565	DNA topoisomerase, type IIA, subunit B  Molecular Function	interpro	family		PR01159	GO:0003677,GO:0003918,GO:0005524,GO:0006265
IPR000605	Helicase, superfamily 3, single-stranded DNA/RNA virus  Molecular Function	interpro	domain		PF00910	GO:0003723,GO:0003724
IPR000635	Viral ssDNA-binding protein  Molecular Function	interpro	family		MF_04007,PF00747	GO:0003697,GO:0006260,GO:0042025
IPR000977	DNA ligase, ATP-dependent  Molecular Function	interpro	family		TIGR00574	GO:0003910,GO:0005524,GO:0071897
IPR001001	DNA polymerase III, beta sliding clamp  Molecular Function	interpro	family		PIRSF000804,cd00140,PTHR30478,TIGR00663,SM00480	GO:0003677,GO:0006260,GO:0009360
IPR001083	Copper fist DNA-binding domain  Molecular Function	interpro	domain		SM01090,SM00412,PR00617,PF00649,PS50073,PS01119	GO:0003677,GO:0003700,GO:0005507,GO:0006355
IPR001091	Restriction/modification DNA-methyltransferase  Molecular Function	interpro	family		PR00508	GO:0003677,GO:0008170
IPR001098	DNA-directed DNA polymerase, family A, palm domain  Molecular Function	interpro	domain		SM00482,PF00476	GO:0003677,GO:0003887,GO:0006260
IPR001130	3'-5' ssDNA/RNA exonuclease TatD-like  Molecular Function	interpro	family		cd01310,PF01026,PIRSF005902	GO:0016788
IPR001138	Zn(2)Cys(6) fungal-type DNA-binding domain  Molecular Function	interpro	domain		cd00067,PS50048,PS00463,SM00066,PF00172	GO:0000981,GO:0008270,GO:0006355
IPR001154	DNA topoisomerase II, eukaryotic-type  Molecular Function	interpro	family		PR01158	GO:0003677,GO:0003918,GO:0005524,GO:0006265
IPR001177	DNA helicase E1, C-terminal, Papillomavirus  Molecular Function	interpro	domain		PF00519	GO:0003677,GO:0003678,GO:0005524,GO:0006260
IPR001238	DNA-binding, RecF  Molecular Function	interpro	family		MF_00365,TIGR00611	GO:0003697,GO:0005524,GO:0006281
IPR001241	DNA topoisomerase, type IIA  Molecular Function	interpro	family		SM00433	GO:0003677,GO:0003918,GO:0005524,GO:0006265
IPR001275	DM DNA-binding domain  Molecular Function	interpro	domain		PS50809,PF00751,PS40000,SM00301	GO:0043565,GO:0006355
IPR001305	Heat shock protein DnaJ, cysteine-rich domain  Molecular Function	interpro	domain		PS51188,cd10719,PF00684	GO:0031072,GO:0051082
IPR001346	Interferon regulatory factor, DNA-binding domain  Molecular Function	interpro	domain		cd00103,PF00605,SM00348,PS51507,PR00267	GO:0000976
IPR001462	Hepadnaviral P protein, C-terminal  Molecular Function	interpro	domain		PF00336	GO:0004523
IPR001497	Methylated-DNA-[protein]-cysteine S-methyltransferase, active site  Molecular Function	interpro	active_site		PS00374	GO:0003908,GO:0006281
IPR001514	DNA-directed RNA polymerase, 30-40kDa subunit, conserved site  Molecular Function	interpro	conserved_site		PS00446	GO:0003677,GO:0003899,GO:0006351
IPR001604	DNA/RNA non-specific endonuclease/pyrophosphatase/phosphodiesterase domain  Molecular Function	interpro	domain		SM00892,PF01223	GO:0003676,GO:0016787,GO:0046872
IPR001606	ARID DNA-binding domain  Molecular Function	interpro	domain		PS51011,PF01388,SM00501	GO:0003677
IPR001631	DNA topoisomerase I  Molecular Function	interpro	family		PR00416	GO:0003677,GO:0003917,GO:0006265
IPR001647	DNA-binding HTH domain, TetR-type  Molecular Function	interpro	domain		PS50977,PR00455,PF00440	GO:0003677
IPR001679	NAD-dependent DNA ligase  Molecular Function	interpro	family		MF_01588,TIGR00575,PIRSF001604	GO:0003911,GO:0006260,GO:0006281
IPR001726	DNA nucleotidylexotransferase (TdT) / DNA-directed DNA/RNA polymerase mu  Molecular Function	interpro	family		PIRSF000817,PR00871	GO:0034061
IPR001739	Methyl-CpG DNA binding  Molecular Function	interpro	domain		PS50982,PF01429,SM00391	GO:0003677
IPR001801	DNA-binding protein H-NS-like  Molecular Function	interpro	family		PIRSF002096	GO:0003677,GO:0030527,GO:0006355
IPR001845	HTH ArsR-type DNA-binding domain  Molecular Function	interpro	domain		PS50987,PF01022,SM00418,PR00778	GO:0003700,GO:0006355
IPR001867	OmpR/PhoB-type DNA-binding domain  Molecular Function	interpro	domain		cd00383,SM00862,PS51755,PF00486	GO:0003677,GO:0000160,GO:0006355
IPR001957	Chromosomal replication control, initiator DnaA  Molecular Function	interpro	family		MF_00377,TIGR00362	GO:0003677,GO:0003688,GO:0005524,GO:0006270,GO:0006275
IPR002008	DNA polymerase family X, beta-like  Molecular Function	interpro	family		PR00870	GO:0003677,GO:0006281
IPR002043	Uracil-DNA glycosylase family 1  Molecular Function	interpro	family		cd10027,MF_00148,TIGR00628,PTHR11264	GO:0004844,GO:0006281,GO:0006284
IPR002052	DNA methylase, N-6 adenine-specific, conserved site  Molecular Function	interpro	conserved_site		PS00092	GO:0003676,GO:0008168,GO:0032259
IPR002054	DNA-directed DNA polymerase X  Molecular Function	interpro	domain		cd00141,SM00483	GO:0003677,GO:0003887
IPR002059	Cold-shock protein Csp, DNA-binding  Molecular Function	interpro	domain		cd04458,PS51857,PR00050,PF00313	GO:0003676
IPR002092	DNA-directed RNA polymerase, phage-type  Molecular Function	interpro	family		PS00489,PS00900,PTHR10102	GO:0003677,GO:0003899,GO:0006351
IPR002099	DNA mismatch repair protein MutL/Mlh/PMS  Molecular Function	interpro	family		TIGR00585	GO:0005524,GO:0030983,GO:0006298
IPR002176	Crossover junction endodeoxyribonuclease RuvC  Molecular Function	interpro	family		cd16962,PTHR30194,MF_00034,TIGR00228,PR00696,PF02075	GO:0004520,GO:0006281,GO:0006310
IPR002197	DNA binding HTH domain, Fis-type  Molecular Function	interpro	domain		PF02954,PR01590	GO:0043565
IPR002205	DNA topoisomerase, type IIA, domain A  Molecular Function	interpro	domain		cd00187,PF00521,SM00434	GO:0003677,GO:0003918,GO:0005524,GO:0006265
IPR002288	DNA gyrase B subunit, C-terminal  Molecular Function	interpro	domain		PF00986	GO:0003677,GO:0003918,GO:0005524,GO:0006265
IPR002297	DNA-directed DNA-polymerase, family A, mitochondria  Molecular Function	interpro	family		PTHR10267,PIRSF000797,PR00867	GO:0003677,GO:0006260,GO:0005760
IPR002298	DNA polymerase A  Molecular Function	interpro	family		PTHR10133,PR00868	GO:0003887,GO:0006261
IPR002706	DNA-repair protein Xrcc1, N-terminal  Molecular Function	interpro	domain		PF01834	GO:0003684,GO:0000012,GO:0005634
IPR002755	DNA primase, small subunit  Molecular Function	interpro	family		PF01896	GO:0003896,GO:0006269
IPR002775	DNA/RNA-binding protein Alba-like  Molecular Function	interpro	domain		PF01918	GO:0003676
IPR002815	Spo11/DNA topoisomerase VI subunit A  Molecular Function	interpro	family		PR01550,PTHR10848	GO:0003677,GO:0003918,GO:0005694
IPR002941	DNA methylase N-4/N-6  Molecular Function	interpro	domain		PF01555	GO:0003677,GO:0008170
IPR003133	T antigen, Ori-binding  Molecular Function	interpro	domain		PS51287,PF02217	GO:0003688,GO:0006260
IPR003150	DNA-binding RFX-type winged-helix domain  Molecular Function	interpro	domain		PS51526,PF02257	GO:0003677,GO:0006355
IPR003176	Adenovirus DNA-binding, all-alpha domain  Molecular Function	interpro	domain		PF02236	GO:0003677,GO:0006268
IPR003180	Methylpurine-DNA glycosylase  Molecular Function	interpro	family		cd00540,MF_00527,PF02245,TIGR00567,PTHR10429	GO:0003677,GO:0003905,GO:0006284
IPR003202	DNA polymerase processivity factor (UL42)  Molecular Function	interpro	family		PF02282	GO:0003677,GO:0006260
IPR003212	DNA-binding protein 7a-e  Molecular Function	interpro	family		NF045555,PIRSF036912,PF02294	GO:0003677,GO:0004521
IPR003310	G/T mismatch-specific thymine DNA glycosylasee TDG-like, eukaryotes  Molecular Function	interpro	family		TIGR00584	GO:0000700,GO:0006285
IPR003340	B3 DNA binding domain  Molecular Function	interpro	domain		cd10017,SM01019,PS50863,PF02362	GO:0003677
IPR003356	DNA methylase, adenine-specific  Molecular Function	interpro	domain		PF02384	GO:0003677,GO:0008170
IPR003512	Bacteriophage M13, G5P, DNA-binding  Molecular Function	interpro	family		PF02303	GO:0003697,GO:0006260
IPR003583	Helix-hairpin-helix DNA-binding motif, class 1  Molecular Function	interpro	domain		SM00278	GO:0003677,GO:0006281
IPR003601	DNA topoisomerase, type IA, domain 2  Molecular Function	interpro	domain		SM00436	GO:0003677,GO:0003916,GO:0006265
IPR003602	DNA topoisomerase, type IA, DNA-binding domain  Molecular Function	interpro	domain		SM00437	GO:0003677,GO:0003916,GO:0006265
IPR003701	DNA double-strand break repair protein Mre11  Molecular Function	interpro	family		PIRSF000882,TIGR00583	GO:0004520,GO:0008296,GO:0006302,GO:0030870
IPR003716	DNA-directed RNA polymerase, omega subunit  Molecular Function	interpro	family		PTHR34476,MF_00366,TIGR00690	GO:0003899,GO:0006351
IPR003840	DNA replication helicase domain  Molecular Function	interpro	domain		PF02689	GO:0004386,GO:0005524
IPR004026	Ada DNA repair, metal-binding  Molecular Function	interpro	domain		PF02805	GO:0003677,GO:0008168,GO:0008270,GO:0006281,GO:0006355
IPR004085	DNA topoisomerase VI, subunit A  Molecular Function	interpro	family		MF_00132,PR01552	GO:0003677,GO:0003918,GO:0006265,GO:0005694
IPR004149	Zinc-finger, NAD-dependent DNA ligase C4-type  Molecular Function	interpro	domain		PF03119	GO:0003911,GO:0006260,GO:0006281
IPR004150	NAD-dependent DNA ligase, OB-fold  Molecular Function	interpro	domain		PF03120	GO:0003911,GO:0006260,GO:0006281
IPR004186	Epstein Barr virus nuclear antigen-1, DNA-binding  Molecular Function	interpro	domain		PF02905	GO:0003677,GO:0006275,GO:0045893,GO:0042025
IPR004191	Integrase, Tn916-type, N-terminal DNA binding  Molecular Function	interpro	domain		PF02920	GO:0003677,GO:0008907,GO:0015074
