Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR000035	Alkylbase DNA glycosidase, conserved site	interpro	conserved_site		PS00516	GO:0003905,GO:0006281
IPR000055	Type I restriction modification DNA specificity domain	interpro	domain		PF01420	GO:0003677
IPR000093	DNA recombination protein RecR	interpro	family		PTHR30446,MF_00017,TIGR00615	GO:0003677,GO:0046872,GO:0006281,GO:0006310
IPR000119	Histone-like DNA-binding protein	interpro	family		PTHR33175,PF00216,SM00411,PR01727	GO:0003677,GO:0030527
IPR000123	RNA-directed DNA polymerase (reverse transcriptase), msDNA	interpro	family		cd03487,PR00866	GO:0003723,GO:0003964,GO:0006278
IPR000201	Hepadnaviral P protein, N-terminal	interpro	domain		PF00242	GO:0003677,GO:0003887,GO:0006260
IPR000212	DNA helicase, UvrD/REP type	interpro	family		PTHR11070	GO:0003677,GO:0003678,GO:0005524
IPR000214	Zinc finger, DNA glycosylase/AP lyase-type	interpro	domain		PS51066	GO:0003906,GO:0008270,GO:0016799,GO:0006284
IPR000232	Heat shock factor (HSF)-type, DNA-binding	interpro	domain		PS00434,SM00415,PF00447,PR00056	GO:0003700,GO:0043565,GO:0006355
IPR000268	DNA-directed RNA polymerase subunit RPABC5/Rpb10	interpro	family		PTHR23431,MF_00250,PIRSF005653,PF01194	GO:0003677,GO:0003899,GO:0006351
IPR000380	DNA topoisomerase, type IA	interpro	family		PTHR42785,PTHR11390	GO:0003677,GO:0003917,GO:0006265
IPR000424	Primosome PriB/single-strand DNA-binding	interpro	family		cd04496,PS50935,PF00436	GO:0003697
IPR000432	DNA mismatch repair protein MutS, C-terminal	interpro	domain		PS00486,PF00488,SM00534	GO:0005524,GO:0030983,GO:0006298
IPR000565	DNA topoisomerase, type IIA, subunit B	interpro	family		PR01159	GO:0003677,GO:0003918,GO:0005524,GO:0006265
IPR000605	Helicase, superfamily 3, single-stranded DNA/RNA virus	interpro	domain		PF00910	GO:0003723,GO:0003724
IPR000635	Viral ssDNA-binding protein	interpro	family		MF_04007,PF00747	GO:0003697,GO:0006260,GO:0042025
IPR000637	HMG-I/HMG-Y, DNA-binding, conserved site	interpro	conserved_site		PS00354	GO:0006355
IPR000977	DNA ligase, ATP-dependent	interpro	family		TIGR00574	GO:0003910,GO:0005524,GO:0071897
IPR001001	DNA polymerase III, beta sliding clamp	interpro	family		PIRSF000804,cd00140,PTHR30478,TIGR00663,SM00480	GO:0003677,GO:0006260,GO:0009360
IPR001083	Copper fist DNA-binding domain	interpro	domain		SM01090,SM00412,PR00617,PF00649,PS50073,PS01119	GO:0003677,GO:0003700,GO:0005507,GO:0006355
IPR001091	Restriction/modification DNA-methyltransferase	interpro	family		PR00508	GO:0003677,GO:0008170
IPR001098	DNA-directed DNA polymerase, family A, palm domain	interpro	domain		SM00482,PF00476	GO:0003677,GO:0003887,GO:0006260
IPR001130	3'-5' ssDNA/RNA exonuclease TatD-like	interpro	family		cd01310,PF01026,PIRSF005902	GO:0016788
IPR001138	Zn(2)Cys(6) fungal-type DNA-binding domain	interpro	domain		cd00067,PS50048,PS00463,SM00066,PF00172	GO:0000981,GO:0008270,GO:0006355
IPR001154	DNA topoisomerase II, eukaryotic-type	interpro	family		PR01158	GO:0003677,GO:0003918,GO:0005524,GO:0006265
IPR001177	DNA helicase E1, C-terminal, Papillomavirus	interpro	domain		PF00519	GO:0003677,GO:0003678,GO:0005524,GO:0006260
IPR001238	DNA-binding, RecF	interpro	family		MF_00365,TIGR00611	GO:0003697,GO:0005524,GO:0006281
IPR001241	DNA topoisomerase, type IIA	interpro	family		SM00433	GO:0003677,GO:0003918,GO:0005524,GO:0006265
IPR001275	DM DNA-binding domain	interpro	domain		PS50809,PF00751,PS40000,SM00301	GO:0043565,GO:0006355
IPR001305	Heat shock protein DnaJ, cysteine-rich domain	interpro	domain		PS51188,cd10719,PF00684	GO:0031072,GO:0051082
IPR001346	Interferon regulatory factor, DNA-binding domain	interpro	domain		cd00103,PF00605,SM00348,PS51507,PR00267	GO:0000976
IPR001462	Hepadnaviral P protein, C-terminal	interpro	domain		PF00336	GO:0004523
IPR001497	Methylated-DNA-[protein]-cysteine S-methyltransferase, active site	interpro	active_site		PS00374	GO:0003908,GO:0006281
IPR001514	DNA-directed RNA polymerase, 30-40kDa subunit, conserved site	interpro	conserved_site		PS00446	GO:0003677,GO:0003899,GO:0006351
IPR001529	DNA-directed RNA polymerase, M/15kDa subunit	interpro	domain		SM00661,PF02150	GO:0006351
IPR001604	DNA/RNA non-specific endonuclease/pyrophosphatase/phosphodiesterase domain	interpro	domain		SM00892,PF01223	GO:0003676,GO:0016787,GO:0046872
IPR001606	ARID DNA-binding domain	interpro	domain		PS51011,PF01388,SM00501	GO:0003677
IPR001623	DnaJ domain	interpro	domain		PS50076,PR00625,cd06257,PF00226,SM00271	
IPR001631	DNA topoisomerase I	interpro	family		PR00416	GO:0003677,GO:0003917,GO:0006265
IPR001647	DNA-binding HTH domain, TetR-type	interpro	domain		PS50977,PR00455,PF00440	GO:0003677
IPR001679	NAD-dependent DNA ligase	interpro	family		MF_01588,TIGR00575,PIRSF001604	GO:0003911,GO:0006260,GO:0006281
IPR001726	DNA nucleotidylexotransferase (TdT) / DNA-directed DNA/RNA polymerase mu	interpro	family		PIRSF000817,PR00871	GO:0034061
IPR001739	Methyl-CpG DNA binding	interpro	domain		PS50982,PF01429,SM00391	GO:0003677
IPR001801	DNA-binding protein H-NS-like	interpro	family		PIRSF002096	GO:0003677,GO:0030527,GO:0006355
IPR001845	HTH ArsR-type DNA-binding domain	interpro	domain		PS50987,PF01022,SM00418,PR00778	GO:0003700,GO:0006355
IPR001867	OmpR/PhoB-type DNA-binding domain	interpro	domain		cd00383,SM00862,PS51755,PF00486	GO:0003677,GO:0000160,GO:0006355
IPR001957	Chromosomal replication control, initiator DnaA	interpro	family		MF_00377,TIGR00362	GO:0003677,GO:0003688,GO:0005524,GO:0006270,GO:0006275
IPR002008	DNA polymerase family X, beta-like	interpro	family		PR00870	GO:0003677,GO:0006281
IPR002043	Uracil-DNA glycosylase family 1	interpro	family		cd10027,MF_00148,TIGR00628,PTHR11264	GO:0004844,GO:0006281,GO:0006284
IPR002052	DNA methylase, N-6 adenine-specific, conserved site	interpro	conserved_site		PS00092	GO:0003676,GO:0008168,GO:0032259
IPR002054	DNA-directed DNA polymerase X	interpro	domain		cd00141,SM00483	GO:0003677,GO:0003887
IPR002059	Cold-shock protein Csp, DNA-binding	interpro	domain		cd04458,PS51857,PR00050,PF00313	GO:0003676
IPR002081	Cryptochrome/DNA photolyase class 1	interpro	family		PTHR11455,PR00147	
IPR002092	DNA-directed RNA polymerase, phage-type	interpro	family		PS00489,PS00900,PTHR10102	GO:0003677,GO:0003899,GO:0006351
IPR002099	DNA mismatch repair protein MutL/Mlh/PMS	interpro	family		TIGR00585	GO:0005524,GO:0030983,GO:0006298
IPR002176	Crossover junction endodeoxyribonuclease RuvC	interpro	family		cd16962,PTHR30194,MF_00034,TIGR00228,PR00696,PF02075	GO:0004520,GO:0006281,GO:0006310
IPR002177	DNA-binding protein Dps	interpro	family		cd01043,PR01346,PIRSF005900,PTHR42932	
IPR002197	DNA binding HTH domain, Fis-type	interpro	domain		PF02954,PR01590	GO:0043565
IPR002205	DNA topoisomerase, type IIA, domain A	interpro	domain		cd00187,PF00521,SM00434	GO:0003677,GO:0003918,GO:0005524,GO:0006265
IPR002288	DNA gyrase B subunit, C-terminal	interpro	domain		PF00986	GO:0003677,GO:0003918,GO:0005524,GO:0006265
IPR002297	DNA-directed DNA-polymerase, family A, mitochondria	interpro	family		PTHR10267,PIRSF000797,PR00867	GO:0003677,GO:0006260,GO:0005760
IPR002298	DNA polymerase A	interpro	family		PTHR10133,PR00868	GO:0003887,GO:0006261
IPR002464	DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site	interpro	conserved_site		PS00690	
IPR002706	DNA-repair protein Xrcc1, N-terminal	interpro	domain		PF01834	GO:0003684,GO:0000012,GO:0005634
IPR002755	DNA primase, small subunit	interpro	family		PF01896	GO:0003896,GO:0006269
IPR002775	DNA/RNA-binding protein Alba-like	interpro	domain		PF01918	GO:0003676
IPR002815	Spo11/DNA topoisomerase VI subunit A	interpro	family		PR01550,PTHR10848	GO:0003677,GO:0003918,GO:0005694
IPR002939	Chaperone DnaJ, C-terminal	interpro	domain		PF01556	
IPR002941	DNA methylase N-4/N-6	interpro	domain		PF01555	GO:0003677,GO:0008170
IPR003133	T antigen, Ori-binding	interpro	domain		PS51287,PF02217	GO:0003688,GO:0006260
IPR003150	DNA-binding RFX-type winged-helix domain	interpro	domain		PS51526,PF02257	GO:0003677,GO:0006355
IPR003163	Transcription regulator HTH, APSES-type DNA-binding domain	interpro	domain		PS51299	
IPR003166	Transcription factor TFIIE beta subunit, DNA-binding domain	interpro	domain		cd07977,PF02186,PS51351	GO:0006367
IPR003176	Adenovirus DNA-binding, all-alpha domain	interpro	domain		PF02236	GO:0003677,GO:0006268
IPR003180	Methylpurine-DNA glycosylase	interpro	family		cd00540,MF_00527,PF02245,TIGR00567,PTHR10429	GO:0003677,GO:0003905,GO:0006284
IPR003202	DNA polymerase processivity factor (UL42)	interpro	family		PF02282	GO:0003677,GO:0006260
IPR003212	DNA-binding protein 7a-e	interpro	family		NF045555,PIRSF036912,PF02294	GO:0003677,GO:0004521
IPR003310	G/T mismatch-specific thymine DNA glycosylasee TDG-like, eukaryotes	interpro	family		TIGR00584	GO:0000700,GO:0006285
IPR003316	E2F/DP family, winged-helix DNA-binding domain	interpro	domain		SM01372,PF02319	GO:0006355,GO:0005667
IPR003340	B3 DNA binding domain	interpro	domain		cd10017,SM01019,PS50863,PF02362	GO:0003677
IPR003356	DNA methylase, adenine-specific	interpro	domain		PF02384	GO:0003677,GO:0008170
IPR003390	DNA integrity scanning protein, DisA, N-terminal	interpro	domain		PS51794,PF02457	
IPR003488	DNA recombination-mediator protein A	interpro	family		PTHR43022,TIGR00732,PF02481	GO:0009294
IPR003498	Probable DNA packing protein, C-terminal	interpro	domain		PF02499	GO:0051276
IPR003499	Probable DNA packing protein, N-terminal	interpro	domain		PF02500	GO:0051276
IPR003512	Bacteriophage M13, G5P, DNA-binding	interpro	family		PF02303	GO:0003697,GO:0006260
IPR003583	Helix-hairpin-helix DNA-binding motif, class 1	interpro	domain		SM00278	GO:0003677,GO:0006281
IPR003601	DNA topoisomerase, type IA, domain 2	interpro	domain		SM00436	GO:0003677,GO:0003916,GO:0006265
IPR003602	DNA topoisomerase, type IA, DNA-binding domain	interpro	domain		SM00437	GO:0003677,GO:0003916,GO:0006265
IPR003701	DNA double-strand break repair protein Mre11	interpro	family		PIRSF000882,TIGR00583	GO:0004520,GO:0008296,GO:0006302,GO:0030870
IPR003716	DNA-directed RNA polymerase, omega subunit	interpro	family		PTHR34476,MF_00366,TIGR00690	GO:0003899,GO:0006351
IPR003798	DNA recombination RmuC	interpro	family		PTHR30563,PF02646	
IPR003840	DNA replication helicase domain	interpro	domain		PF02689	GO:0004386,GO:0005524
IPR003871	RPA1 ssDNA-binding domain-like, plant	interpro	domain		cd04480,PF02721	
IPR004026	Ada DNA repair, metal-binding	interpro	domain		PF02805	GO:0003677,GO:0008168,GO:0008270,GO:0006281,GO:0006355
IPR004085	DNA topoisomerase VI, subunit A	interpro	family		MF_00132,PR01552	GO:0003677,GO:0003918,GO:0006265,GO:0005694
IPR004149	Zinc-finger, NAD-dependent DNA ligase C4-type	interpro	domain		PF03119	GO:0003911,GO:0006260,GO:0006281
IPR004150	NAD-dependent DNA ligase, OB-fold	interpro	domain		PF03120	GO:0003911,GO:0006260,GO:0006281
IPR004186	Epstein Barr virus nuclear antigen-1, DNA-binding	interpro	domain		PF02905	GO:0003677,GO:0006275,GO:0045893,GO:0042025
IPR004190	DNA polymerase processivity factor	interpro	domain		PF02916	GO:0006260
IPR004191	Integrase, Tn916-type, N-terminal DNA binding	interpro	domain		PF02920	GO:0003677,GO:0008907,GO:0015074
IPR004230	DNA mismatch repair protein MutH	interpro	family		MF_00759,TIGR02248	GO:0003677,GO:0004519,GO:0006304
IPR004260	Pyrimidine dimer DNA glycosylase	interpro	family		PF03013,PIRSF001000	
IPR004330	FAR1 DNA binding domain	interpro	domain		PF03101	
IPR004475	DNA polymerase II large subunit DP2	interpro	family		PTHR42210,MF_00324,PIRSF016275,TIGR00354	GO:0003677,GO:0003887,GO:0006260
IPR004504	DNA repair protein RadA	interpro	family		MF_01498,TIGR00416	GO:0003684,GO:0005524,GO:0006281
IPR004519	DNA-directed RNA polymerase, subunit E/RPC8	interpro	family		TIGR00448	GO:0003677,GO:0003899,GO:0006351
IPR004574	Alkylated DNA repair protein AlkB	interpro	family		TIGR00568,PTHR16557	
IPR004577	8-oxoguanine DNA-glycosylase	interpro	family		TIGR00588	GO:0008534,GO:0034039,GO:0006284
IPR004580	DNA repair protein Rad18, fungi	interpro	family		TIGR00599	GO:0003697,GO:0061630,GO:0006301,GO:0006513
IPR004583	DNA repair protein Rad4	interpro	family		PTHR12135	GO:0003684,GO:0006289,GO:0005634
IPR004584	DNA repair protein Rad50, eukaryotes	interpro	family		TIGR00606	GO:0016887,GO:0000723,GO:0006281,GO:0005634,GO:0030870
IPR004585	DNA recombination/repair protein Rad52	interpro	family		TIGR00607	GO:0000724,GO:0000730,GO:0045002,GO:0005634
IPR004589	DNA helicase, ATP-dependent, RecQ type	interpro	family		TIGR00614	GO:0004386,GO:0006310
IPR004590	DNA single-strand annealing protein RecT	interpro	family		TIGR00616	GO:0003677,GO:0006259
IPR004597	DNA-3-methyladenine glycosylase I	interpro	family		TIGR00624	GO:0008725,GO:0006284
IPR004603	DNA mismatch endonuclease VSR	interpro	family		cd00221,PIRSF018267,TIGR00632,PF03852	GO:0004519,GO:0006298
