Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
PF00010	Helix-loop-helix DNA-binding domain	pfam	domain	IPR011598
PF00010	Helix-loop-helix DNA-binding domain	pfam	domain	IPR036638		
PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	pfam	domain	IPR000477		
PF00136	DNA polymerase family B	pfam	family	IPR006134		
PF00145	C-5 cytosine-specific DNA methylase	pfam	domain	IPR001525		
PF00154	recA bacterial DNA recombination protein	pfam	family	IPR049428		
PF00204	DNA gyrase B	pfam	domain	IPR013506		
PF00216	Bacterial DNA-binding protein	pfam	domain	IPR000119		
PF00226	DnaJ domain	pfam	domain	IPR001623		
PF00242	DNA polymerase (viral) N-terminal domain	pfam	family	IPR000201		
PF00249	Myb-like DNA-binding domain	pfam	domain	IPR001005		
PF00308	Bacterial DnaA ATPAse domain	pfam	domain	IPR013317		
PF00313	'Cold-shock' DNA-binding domain	pfam	domain	IPR002059		
PF00319	SRF-type transcription factor (DNA-binding and dimerisation domain)	pfam	domain	IPR002100		
PF00336	DNA polymerase (viral) C-terminal domain	pfam	family	IPR001462		
PF00447	HSF-type DNA-binding	pfam	domain	IPR000232		
PF00476	DNA polymerase family A	pfam	family	IPR001098		
PF00521	DNA gyrase/topoisomerase IV, subunit A	pfam	family	IPR002205		
PF00552	Integrase DNA binding domain	pfam	domain	IPR001037		
PF00554	Rel homology DNA-binding domain	pfam	domain	IPR011539		
PF00645	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region	pfam	domain	IPR001510		
PF00649	Copper fist DNA binding domain	pfam	domain	IPR001083		
PF00684	DnaJ central domain	pfam	domain	IPR001305		
PF00695	Major surface antigen from hepadnavirus	pfam	family	IPR000349		
PF00712	DNA polymerase III beta subunit, N-terminal domain	pfam	domain	IPR022634		
PF00730	HhH-GPD superfamily base excision DNA repair protein	pfam	domain	IPR003265		
PF00747	ssDNA binding protein	pfam	family	IPR000635		
PF00751	DM DNA binding domain	pfam	family	IPR001275		
PF00772	DnaB-like helicase N terminal domain	pfam	domain	IPR007693		
PF00870	P53 DNA-binding domain	pfam	domain	IPR011615		
PF00875	DNA photolyase	pfam	domain	IPR006050		
PF00940	DNA-dependent RNA polymerase	pfam	family	IPR046950		
PF00986	DNA gyrase B subunit, carboxyl terminus	pfam	family	IPR002288		
PF01026	TatD related DNase	pfam	domain	IPR001130		
PF01028	Eukaryotic DNA topoisomerase I, catalytic core	pfam	domain	IPR013500		
PF01035	6-O-methylguanine DNA methyltransferase, DNA binding domain	pfam	domain	IPR014048		
PF01068	ATP dependent DNA ligase domain	pfam	domain	IPR012310		
PF01119	DNA mismatch repair protein, C-terminal domain	pfam	family	IPR013507		
PF01131	DNA topoisomerase	pfam	family	IPR013497		
PF01149	Formamidopyrimidine-DNA glycosylase N-terminal domain	pfam	domain	IPR012319		
PF01223	DNA/RNA non-specific endonuclease	pfam	domain	IPR001604		
PF01287	Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold	pfam	domain	IPR020189		
PF01316	Arginine repressor, DNA binding domain	pfam	domain	IPR020900		
PF01325	Iron dependent repressor, N-terminal DNA binding domain	pfam	domain	IPR022687		
PF01388	ARID/BRIGHT DNA binding domain	pfam	domain	IPR001606		
PF01396	Topoisomerase DNA binding C4 zinc finger	pfam	domain	IPR013498		
PF01420	Type I restriction modification DNA specificity domain	pfam	domain	IPR000055		
PF01555	DNA methylase	pfam	family	IPR002941		
PF01556	DnaJ C terminal domain	pfam	domain	IPR002939		
PF01612	3'-5' exonuclease	pfam	domain	IPR002562		
PF01653	NAD-dependent DNA ligase adenylation domain	pfam	domain	IPR013839		
PF01726	LexA DNA binding domain	pfam	domain	IPR006199		
PF01896	DNA primase small subunit	pfam	family	IPR002755		
PF01984	Double-stranded DNA-binding domain	pfam	family	IPR002836		
PF02086	D12 class N6 adenine-specific DNA methyltransferase	pfam	family	IPR012327		
PF02217	Origin of replication binding protein	pfam	domain	IPR003133		
PF02236	Viral DNA-binding protein, all alpha domain	pfam	domain	IPR003176		
PF02245	Methylpurine-DNA glycosylase (MPG)	pfam	domain	IPR003180		
PF02257	RFX DNA-binding domain	pfam	domain	IPR003150		
PF02282	DNA polymerase processivity factor (UL42)	pfam	domain	IPR003202		
PF02294	7kD DNA-binding domain	pfam	domain	IPR003212		
PF02303	Helix-destabilising protein	pfam	domain	IPR003512		
PF02316	Mu DNA-binding domain	pfam	family	IPR003314		
PF02319	E2F/DP family winged-helix DNA-binding domain	pfam	domain	IPR003316		
PF02362	B3 DNA binding domain	pfam	family	IPR003340		
PF02384	N-6 DNA Methylase	pfam	family	IPR003356		
PF02442	Lipid membrane protein of large eukaryotic DNA viruses	pfam	family	IPR003472		
PF02459	Adenoviral DNA terminal protein	pfam	family	IPR003391		
PF02481	DNA recombination-mediator protein A	pfam	family	IPR003488		
PF02499	Probable DNA packing protein, C-terminus	pfam	domain	IPR003498		
PF02500	Probable DNA packing protein, N-terminus	pfam	family	IPR003499		
