Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
PF00035	Double-stranded RNA binding motif	pfam	domain	IPR014720		
PF00073	picornavirus capsid protein	pfam	domain	IPR001676		
PF00074	Pancreatic ribonuclease	pfam	domain	IPR023412		
PF00075	RNase H	pfam	domain	IPR002156		
PF00076	RNA recognition motif	pfam	domain	IPR000504		
PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	pfam	domain	IPR000477		
PF00133	tRNA synthetases class I (I, L, M and V)	pfam	domain	IPR002300		
PF00152	tRNA synthetases class II (D, K and N)	pfam	domain	IPR004364		
PF00181	Ribosomal Proteins L2, RNA binding domain	pfam	domain	IPR022666		
PF00298	Ribosomal protein L11, RNA binding domain	pfam	domain	IPR020783		
PF00398	Ribosomal RNA adenine dimethylase	pfam	domain	IPR001737		
PF00548	3C cysteine protease (picornain 3C)	pfam	family	IPR000199		
PF00562	RNA polymerase Rpb2, domain 6	pfam	domain	IPR007120		
PF00575	S1 RNA binding domain	pfam	domain	IPR003029		
PF00579	tRNA synthetases class I (W and Y)	pfam	family	IPR002305		
PF00587	tRNA synthetase class II core domain (G, H, P, S and T)	pfam	domain	IPR002314		
PF00588	SpoU rRNA Methylase family	pfam	family	IPR001537		
PF00602	Influenza RNA-dependent RNA polymerase subunit PB1	pfam	family	IPR001407		
PF00603	Influenza RNA-dependent RNA polymerase subunit PA	pfam	family	IPR001009		
PF00604	Influenza RNA polymerase PB2 CAP binding domain	pfam	domain	IPR048298		
PF00623	RNA polymerase Rpb1, domain 2	pfam	domain	IPR000722		
PF00680	Viral RNA-dependent RNA polymerase	pfam	family	IPR001205		
PF00745	Glutamyl-tRNAGlu reductase, dimerisation domain	pfam	domain	IPR015896		
PF00749	tRNA synthetases class I (E and Q), catalytic domain	pfam	domain	IPR020058		
PF00750	tRNA synthetases class I (R)	pfam	family	IPR035684		
PF00803	3A/RNA2 movement protein family	pfam	family	IPR000603		
PF00806	Pumilio-family RNA binding repeat	pfam	repeat	IPR001313		
PF00814	tRNA N6-adenosine threonylcarbamoyltransferase	pfam	family	IPR000905		
PF00849	RNA pseudouridylate synthase	pfam	family	IPR006145		
PF00910	RNA helicase	pfam	domain	IPR000605		
PF00929	Exonuclease	pfam	family	IPR013520		
PF00940	DNA-dependent RNA polymerase	pfam	family	IPR046950		
PF00946	Mononegavirales RNA dependent RNA polymerase	pfam	family	IPR014023		
PF00947	Picornavirus core protein 2A	pfam	domain	IPR000081		
PF00972	Flavivirus RNA-directed RNA polymerase, fingers and palm domains	pfam	domain	IPR000208		
PF00978	RNA dependent RNA polymerase	pfam	family	IPR001788		
PF00981	Rotavirus RNA-binding Protein 53 (NS53)	pfam	family	IPR002148		
PF00998	Viral RNA dependent RNA polymerase	pfam	family	IPR002166		
PF01000	RNA polymerase Rpb3/RpoA insert domain	pfam	domain	IPR011262		
PF01125	Pre-mRNA-splicing factor BUD31	pfam	domain	IPR001748		
PF01137	RNA 3'-terminal phosphate cyclase	pfam	domain	IPR023797		
PF01138	3' exoribonuclease family, domain 1	pfam	domain	IPR001247		
PF01139	tRNA-splicing ligase RtcB	pfam	family	IPR001233		
PF01142	tRNA pseudouridine synthase D (TruD)	pfam	family	IPR001656		
PF01189	16S rRNA methyltransferase RsmB/F	pfam	family	IPR049560		
PF01191	RNA polymerase Rpb5, C-terminal domain	pfam	domain	IPR000783		
PF01192	RNA polymerase Rpb6	pfam	family	IPR006110		
PF01193	RNA polymerase Rpb3/Rpb11 dimerisation domain	pfam	domain	IPR011263		
PF01194	RNA polymerases N / 8 kDa subunit	pfam	domain	IPR000268		
PF01195	Peptidyl-tRNA hydrolase	pfam	domain	IPR001328		
PF01223	DNA/RNA non-specific endonuclease	pfam	domain	IPR001604		
PF01331	mRNA capping enzyme, catalytic domain	pfam	domain	IPR001339		
PF01336	OB-fold nucleic acid binding domain	pfam	domain	IPR004365		
PF01337	Barstar (barnase inhibitor)	pfam	domain	IPR000468		
PF01351	Ribonuclease HII	pfam	family	IPR024567		
PF01406	tRNA synthetases class I (C) catalytic domain	pfam	family	IPR032678		
PF01409	tRNA synthetases class II core domain (F)	pfam	domain	IPR002319		
PF01411	tRNA synthetases class II (A)	pfam	family	IPR018164		
PF01416	tRNA pseudouridine synthase	pfam	domain	IPR020097		
PF01443	Viral (Superfamily 1) RNA helicase	pfam	family	IPR027351		
PF01552	Picornavirus 2B protein	pfam	family	IPR002527		
PF01588	Putative tRNA binding domain	pfam	domain	IPR002547		
PF01702	Queuine tRNA-ribosyltransferase	pfam	family	IPR002616		
PF01746	tRNA (Guanine-1)-methyltransferase	pfam	family	IPR016009		
PF01766	Birnavirus VP2 protein	pfam	family	IPR002662		
PF01767	Birnavirus VP3 protein	pfam	family	IPR002663		
PF01768	Birnavirus VP4 protein	pfam	family	IPR025775		
PF01786	Alternative oxidase	pfam	family	IPR002680		
PF01798	snoRNA binding domain, fibrillarin	pfam	family	IPR002687		
PF01868	Ribonuclease P/MRP, subunit p29	pfam	family	IPR002730		
PF01876	RNase P subunit p30	pfam	domain	IPR002738		
PF01877	RNA binding	pfam	family	IPR002739		
PF01885	RNA 2'-phosphotransferase, Tpt1 / KptA family	pfam	family	IPR002745		
PF01900	Rpp14/Pop5 family	pfam	family	IPR002759		
PF01921	tRNA synthetases class I (K)	pfam	family	IPR002904		
PF01927	Mut7-C RNAse domain	pfam	domain	IPR002782		
PF01974	tRNA intron endonuclease, catalytic C-terminal domain	pfam	domain	IPR006677		
PF01980	tRNA-methyltransferase O	pfam	family	IPR023370		
PF01981	Peptidyl-tRNA hydrolase PTH2	pfam	family	IPR002833		
PF01994	tRNA ribose 2'-O-methyltransferase, aTrm56	pfam	family	IPR002845		
PF02005	N2,N2-dimethylguanosine tRNA methyltransferase	pfam	family	IPR002905		
PF02081	Tryptophan RNA-binding attenuator protein	pfam	domain	IPR023558		
PF02088	Ornatin	pfam	family	IPR002463		
PF02091	Glycyl-tRNA synthetase alpha subunit	pfam	domain	IPR002310		
PF02092	Glycyl-tRNA synthetase beta subunit	pfam	family	IPR015944		
PF02123	Viral RNA-directed RNA-polymerase	pfam	family	IPR001795		
PF02150	RNA polymerases M/15 Kd subunit	pfam	domain	IPR001529		
PF02226	Picornavirus coat protein (VP4)	pfam	family	IPR003138		
PF02403	Seryl-tRNA synthetase N-terminal domain	pfam	domain	IPR015866		
PF02527	rRNA small subunit methyltransferase G	pfam	family	IPR003682		
PF02580	D-Tyr-tRNA(Tyr) deacylase	pfam	family	IPR003732		
