Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR000081	Peptidase C3, picornavirus core protein 2A	interpro	domain		PF00947	GO:0008233,GO:0006508,GO:0016032
IPR000100	Ribonuclease P	interpro	family		PTHR33992,MF_00227,TIGR00188,PF00825	GO:0000049,GO:0004526,GO:0008033
IPR000123	RNA-directed DNA polymerase (reverse transcriptase), msDNA	interpro	family		cd03487,PR00866	GO:0003723,GO:0003964,GO:0006278
IPR000176	mRNA methyltransferase-like	interpro	family		PF01358	
IPR000199	Peptidase C3A/C3B, picornaviral	interpro	domain		PF00548	GO:0004197,GO:0006508
IPR000208	RNA-directed RNA polymerase, fingers/palm subdomains, flavivirus	interpro	domain		PF00972	GO:0003968,GO:0005524
IPR000228	RNA 3'-terminal phosphate cyclase	interpro	family		PIRSF005378,PTHR11096	GO:0006396
IPR000241	Ribosomal RNA large subunit methyltransferase K/L-like, methyltransferase domain	interpro	domain		PF01170	
IPR000268	DNA-directed RNA polymerase subunit RPABC5/Rpb10	interpro	family		PTHR23431,MF_00250,PIRSF005653,PF01194	GO:0003677,GO:0003899,GO:0006351
IPR000343	Glutamyl-tRNA reductase	interpro	family		MF_00087,PIRSF000445,TIGR01035	GO:0008883,GO:0050661,GO:0033014
IPR000394	RNA polymerase sigma factor 54	interpro	family		PIRSF000774,PTHR32248,PS00718,PS00717,PF00309,TIGR02395,PR00045	GO:0001216,GO:0016987
IPR000468	Barstar (barnase inhibitor)	interpro	domain		PF01337	
IPR000504	RNA recognition motif domain	interpro	domain		PF16367,PF00076,PS50102,SM00360	GO:0003723
IPR000541	Cytoplasmic tRNA 2-thiolation protein 1	interpro	family		MF_03053,TIGR00269	GO:0000049,GO:0002098,GO:0034227
IPR000605	Helicase, superfamily 3, single-stranded DNA/RNA virus	interpro	domain		PF00910	GO:0003723,GO:0003724
IPR000629	ATP-dependent RNA helicase DEAD-box, conserved site	interpro	conserved_site		PS00039	
IPR000684	RNA polymerase II, heptapeptide repeat, eukaryotic	interpro	repeat		PS00115,PF05001	GO:0003677,GO:0006366
IPR000692	rRNA 2'-O-methyltransferase fibrillarin-like	interpro	family		SM01206,MF_00351,PF01269,PIRSF006540,PR00052	GO:0003723,GO:0008168,GO:0006364
IPR000722	RNA polymerase, alpha subunit	interpro	domain		PF00623	GO:0003677,GO:0003899,GO:0006351
IPR000783	RNA polymerase, subunit H/Rpb5 C-terminal	interpro	domain		PF01191	GO:0003677,GO:0003899,GO:0006351
IPR000838	RNA polymerase sigma factor 70, ECF, conserved site	interpro	conserved_site		PS01063	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR000924	Glutamyl/glutaminyl-tRNA synthetase	interpro	family		PR00987	GO:0000166,GO:0004812,GO:0005524,GO:0043039
IPR000943	RNA polymerase sigma-70	interpro	domain		PS00716,PS00715,PIRSF000770,PR00046	GO:0003700,GO:0006352,GO:0006355
IPR000999	Ribonuclease III domain	interpro	domain		cd00593,PF14622,PF00636,PS50142,PS00517,SM00535	GO:0004525,GO:0006396
IPR001009	Influenza RNA-dependent RNA polymerase subunit PA	interpro	family		PF00603	GO:0003723,GO:0039694
IPR001072	RNA ligase, Pab1020 family	interpro	family		cd07894,TIGR01209,PR01048	
