Accession	Name Molecular Function	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR000081	Peptidase C3, picornavirus core protein 2A  Molecular Function	interpro	domain		PF00947	GO:0008233,GO:0006508,GO:0016032
IPR000100	Ribonuclease P  Molecular Function	interpro	family		PTHR33992,MF_00227,TIGR00188,PF00825	GO:0000049,GO:0004526,GO:0008033
IPR000123	RNA-directed DNA polymerase (reverse transcriptase), msDNA  Molecular Function	interpro	family		cd03487,PR00866	GO:0003723,GO:0003964,GO:0006278
IPR000199	Peptidase C3A/C3B, picornaviral  Molecular Function	interpro	domain		PF00548	GO:0004197,GO:0006508
IPR000208	RNA-directed RNA polymerase, fingers/palm subdomains, flavivirus  Molecular Function	interpro	domain		PF00972	GO:0003968,GO:0005524
IPR000268	DNA-directed RNA polymerase subunit RPABC5/Rpb10  Molecular Function	interpro	family		PTHR23431,MF_00250,PIRSF005653,PF01194	GO:0003677,GO:0003899,GO:0006351
IPR000343	Glutamyl-tRNA reductase  Molecular Function	interpro	family		MF_00087,PIRSF000445,TIGR01035	GO:0008883,GO:0050661,GO:0033014
IPR000394	RNA polymerase sigma factor 54  Molecular Function	interpro	family		PIRSF000774,PTHR32248,PS00718,PS00717,PF00309,TIGR02395,PR00045	GO:0001216,GO:0016987
IPR000504	RNA recognition motif domain  Molecular Function	interpro	domain		PF16367,PF00076,PS50102,SM00360	GO:0003723
IPR000541	Cytoplasmic tRNA 2-thiolation protein 1  Molecular Function	interpro	family		MF_03053,TIGR00269	GO:0000049,GO:0002098,GO:0034227
IPR000605	Helicase, superfamily 3, single-stranded DNA/RNA virus  Molecular Function	interpro	domain		PF00910	GO:0003723,GO:0003724
IPR000684	RNA polymerase II, heptapeptide repeat, eukaryotic  Molecular Function	interpro	repeat		PS00115,PF05001	GO:0003677,GO:0006366
IPR000692	rRNA 2'-O-methyltransferase fibrillarin-like  Molecular Function	interpro	family		SM01206,MF_00351,PF01269,PIRSF006540,PR00052	GO:0003723,GO:0008168,GO:0006364
IPR000722	RNA polymerase, alpha subunit  Molecular Function	interpro	domain		PF00623	GO:0003677,GO:0003899,GO:0006351
IPR000783	RNA polymerase, subunit H/Rpb5 C-terminal  Molecular Function	interpro	domain		PF01191	GO:0003677,GO:0003899,GO:0006351
IPR000838	RNA polymerase sigma factor 70, ECF, conserved site  Molecular Function	interpro	conserved_site		PS01063	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR000924	Glutamyl/glutaminyl-tRNA synthetase  Molecular Function	interpro	family		PR00987	GO:0000166,GO:0004812,GO:0005524,GO:0043039
IPR000943	RNA polymerase sigma-70  Molecular Function	interpro	domain		PS00716,PS00715,PIRSF000770,PR00046	GO:0003700,GO:0006352,GO:0006355
IPR000999	Ribonuclease III domain  Molecular Function	interpro	domain		cd00593,PF14622,PF00636,PS50142,PS00517,SM00535	GO:0004525,GO:0006396
IPR001009	Influenza RNA-dependent RNA polymerase subunit PA  Molecular Function	interpro	family		PF00603	GO:0003723,GO:0039694
IPR001130	3'-5' ssDNA/RNA exonuclease TatD-like  Molecular Function	interpro	family		cd01310,PF01026,PIRSF005902	GO:0016788
IPR001162	UvrC, RNAse H endonuclease domain  Molecular Function	interpro	domain		PS50165,PF08459	GO:0009381
IPR001205	RNA-directed RNA polymerase, C-terminal domain  Molecular Function	interpro	domain		PF00680	GO:0003723,GO:0003968,GO:0006351
IPR001233	RNA-splicing ligase, RtcB  Molecular Function	interpro	family		PF01139,PS01288,PTHR11118	GO:0008452,GO:0006396
IPR001269	tRNA-dihydrouridine synthase  Molecular Function	interpro	family		PIRSF006621	GO:0017150,GO:0050660,GO:0008033
IPR001278	Arginine-tRNA ligase  Molecular Function	interpro	family		MF_00123,TIGR00456,PTHR11956,PR01038	GO:0004814,GO:0005524,GO:0006420
IPR001313	Pumilio RNA-binding repeat  Molecular Function	interpro	repeat		PF22493,PF00806,PS50302,SM00025	GO:0003723
IPR001328	Peptidyl-tRNA hydrolase  Molecular Function	interpro	family		cd00462,MF_00083,PF01195,TIGR00447,PTHR17224	GO:0004045
IPR001339	mRNA capping enzyme, adenylation domain  Molecular Function	interpro	domain		cd07895,PF01331	GO:0004484,GO:0005524,GO:0006370
IPR001352	Ribonuclease HII/HIII  Molecular Function	interpro	family		PTHR10954	GO:0003723,GO:0004523
IPR001407	Influenza RNA-dependent RNA polymerase subunit PB1  Molecular Function	interpro	family		PIRSF000827,MF_04065,PF00602	GO:0003723,GO:0003968,GO:0039694
IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site  Molecular Function	interpro	conserved_site		PS00178	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR001427	Pancreatic ribonuclease  Molecular Function	interpro	family		PTHR11437,PR00794	GO:0003676
IPR001514	DNA-directed RNA polymerase, 30-40kDa subunit, conserved site  Molecular Function	interpro	conserved_site		PS00446	GO:0003677,GO:0003899,GO:0006351
IPR001537	tRNA/rRNA methyltransferase, SpoU type  Molecular Function	interpro	domain		PF00588	GO:0003723,GO:0008173,GO:0006396
IPR001566	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD  Molecular Function	interpro	family		MF_01010	GO:0003723,GO:0008173,GO:0006396
IPR001568	Ribonuclease T2-like  Molecular Function	interpro	family		PTHR11240,PF00445	GO:0003723,GO:0033897
IPR001591	Influenza RNA-dependent RNA polymerase subunit PB2  Molecular Function	interpro	family		MF_04062	GO:0003723,GO:0039694
IPR001604	DNA/RNA non-specific endonuclease/pyrophosphatase/phosphodiesterase domain  Molecular Function	interpro	domain		SM00892,PF01223	GO:0003676,GO:0016787,GO:0046872
IPR001676	Picornavirus capsid  Molecular Function	interpro	domain		PF00073	GO:0005198
IPR001726	DNA nucleotidylexotransferase (TdT) / DNA-directed DNA/RNA polymerase mu  Molecular Function	interpro	family		PIRSF000817,PR00871	GO:0034061
IPR001788	RNA-dependent RNA polymerase, alsuviricetes  Molecular Function	interpro	domain		PF00978	GO:0003723,GO:0003968,GO:0006351
IPR001795	RNA-directed RNA polymerase, luteovirus  Molecular Function	interpro	family		PF02123,PR00914	GO:0003723,GO:0003968,GO:0006351
IPR001887	Barnase  Molecular Function	interpro	family		cd00933,PR00117,PIRSF001013	GO:0003723,GO:0004521
IPR001890	RNA-binding, CRM domain  Molecular Function	interpro	domain		SM01103,PS51295,PF01985	GO:0003723
IPR001900	Ribonuclease II/R  Molecular Function	interpro	domain		SM00955,PF00773	GO:0003723,GO:0004540
IPR002078	RNA polymerase sigma factor 54 interaction domain  Molecular Function	interpro	domain		PF14532,PF00158,PS50045	GO:0005524,GO:0008134,GO:0006355
IPR002092	DNA-directed RNA polymerase, phage-type  Molecular Function	interpro	family		PS00489,PS00900,PTHR10102	GO:0003677,GO:0003899,GO:0006351
IPR002156	Ribonuclease H domain  Molecular Function	interpro	domain		PF13456,PF00075,PS50879	GO:0003676,GO:0004523
IPR002166	RNA dependent RNA polymerase, hepatitis C virus  Molecular Function	interpro	family		PF00998	GO:0003723,GO:0003968,GO:0039694
IPR002218	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG-related  Molecular Function	interpro	family		PTHR11806	GO:0050660,GO:0008033
IPR002300	Aminoacyl-tRNA synthetase, class Ia  Molecular Function	interpro	domain		PF00133	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR002301	Isoleucine-tRNA ligase  Molecular Function	interpro	family		PR00984,TIGR00392	GO:0000166,GO:0004822,GO:0005524,GO:0006428
IPR002302	Leucine-tRNA ligase  Molecular Function	interpro	family		PTHR43740,MF_00049_B,TIGR00396,PR00985	GO:0000166,GO:0004823,GO:0005524,GO:0006429
